2026-04-26 00:20:18.283 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,283 - freqtrade.configuration.configuration - INFO - Paramet'
2026-04-26 00:20:18.283 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,283 - freqtrade.configuration.configuration - INFO - Paramet'
2026-04-26 00:20:18.284 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,283 - freqtrade.configuration.configuration - INFO - Using u'
2026-04-26 00:20:18.284 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,284 - freqtrade.configuration.configuration - INFO - Using d'
2026-04-26 00:20:18.285 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,284 - freqtrade.configuration.configuration - INFO - Paramet'
2026-04-26 00:20:18.285 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,285 - freqtrade.configuration.configuration - INFO - Paramet'
2026-04-26 00:20:18.285 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,285 - freqtrade.configuration.configuration - INFO - Using p'
2026-04-26 00:20:18.286 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,285 - freqtrade.configuration.configuration - INFO - Filter '
2026-04-26 00:20:18.286 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,286 - freqtrade.exchange.check_exchange - INFO - Checking ex'
2026-04-26 00:20:18.295 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:18,295 - freqtrade.exchange.check_exchange - INFO - Exchange "b'
